Condition,Drug,Indication,Type,Reviews,Effective,EaseOfUse,Satisfaction,Information
Acute Bacterial Sinusitis,Erythromycin,On Label,RX,19 Reviews,3.80,4.00,3.40,"
					Erythromycin is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 6 Tablet(s), 500mg each of the generic (erythromycin base) is $125.24. You can buy erythromycin base at the discounted price of $99.98 by using the WebMDRx coupon, a savings of 20%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Ampicillin,On Label,RX,15 Reviews,3.00,3.25,3.00,"
					Ampicillin is used to treat a wide variety of bacterial infections. This is a generic drug. You can buy ampicillin at the discounted price of $17.18 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Moxifloxacin,On Label,RX,13 Reviews,3.33,3.33,3.00,"
					 This is a generic drug. The average cash price for 1 Bottle, 3ml of 0.5% each of the generic (moxifloxacin hcl) is $74.99. You can buy moxifloxacin hcl at the discounted price of $34.89 by using the WebMDRx coupon, a savings of 53%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Erythromycin Stearate,On Label,RX,12 Reviews,3.00,2.80,2.20,"
					Erythromycin is used to treat a wide variety of bacterial infections. This is a brand name drug and a generic may be available. The average cash price for 12 Tablet(s), 250mg  each, is $161.19. You can buy Erythrocin Stearate at the discounted price of $142.68 by using the WebMDRx coupon, a savings of 11%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,11 Reviews,3.25,2.75,3.00,"
					Erythromycin is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 1 Bottle, 100ml of 200mg/5ml each of the generic (erythromycin ethylsuccinate) is $332.63. You can buy erythromycin ethylsuccinate at the discounted price of $153.17 by using the WebMDRx coupon, a savings of 54%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,11 Reviews,3.25,2.75,3.00,"
					Erythromycin is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 1 Bottle, 100ml of 200mg/5ml each of the generic (erythromycin ethylsuccinate) is $332.63. You can buy erythromycin ethylsuccinate at the discounted price of $153.17 by using the WebMDRx coupon, a savings of 54%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,11 Reviews,2.33,3.67,3.00,"
					Amoxicillin is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 21 Capsule(s), 500mg  each, is $12.59. You can buy amoxicillin at the discounted price of $4.78 by using the WebMDRx coupon, a savings of 62%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,11 Reviews,2.33,3.67,3.00,"
					Amoxicillin is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 21 Capsule(s), 500mg  each, is $12.59. You can buy amoxicillin at the discounted price of $4.78 by using the WebMDRx coupon, a savings of 62%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,11 Reviews,2.33,3.67,3.00,"
					Amoxicillin is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 21 Capsule(s), 500mg  each, is $12.59. You can buy amoxicillin at the discounted price of $4.78 by using the WebMDRx coupon, a savings of 62%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Moxifloxacin,On Label,RX,10 Reviews,2.50,3.50,2.50,"
					 This is a generic drug. The average cash price for 1 Bottle, 3ml of 0.5% each of the generic (moxifloxacin hcl) is $74.99. You can buy moxifloxacin hcl at the discounted price of $34.89 by using the WebMDRx coupon, a savings of 53%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Moxifloxacin-Sod.Chloride(Iso),On Label,RX,5 Reviews,2.33,2.33,2.00,"
					This medication is used to treat a variety of bacterial infections. This is a generic drug. You can buy moxifloxacin hcl in nacl at the discounted price of $93.93 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,5 Reviews,3.00,5.00,3.00,"
					Amoxicillin is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 21 Capsule(s), 500mg  each, is $12.59. You can buy amoxicillin at the discounted price of $4.78 by using the WebMDRx coupon, a savings of 62%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,5 Reviews,3.00,5.00,3.00,"
					Amoxicillin is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 21 Capsule(s), 500mg  each, is $12.59. You can buy amoxicillin at the discounted price of $4.78 by using the WebMDRx coupon, a savings of 62%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,5 Reviews,3.00,5.00,3.00,"
					Amoxicillin is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 21 Capsule(s), 500mg  each, is $12.59. You can buy amoxicillin at the discounted price of $4.78 by using the WebMDRx coupon, a savings of 62%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Erythromycin Stearate,On Label,RX,4 Reviews,5.00,4.00,5.00,"
					Erythromycin is used to treat a wide variety of bacterial infections. This is a brand name drug and a generic may be available. The average cash price for 12 Tablet(s), 250mg  each, is $161.19. You can buy Erythrocin Stearate at the discounted price of $142.68 by using the WebMDRx coupon, a savings of 11%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,3 Reviews,1.00,1.00,1.00,"
					Erythromycin is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 1 Bottle, 100ml of 200mg/5ml each of the generic (erythromycin ethylsuccinate) is $332.63. You can buy erythromycin ethylsuccinate at the discounted price of $153.17 by using the WebMDRx coupon, a savings of 54%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Clarithromycin,On Label,RX,2 Reviews,5.00,4.00,4.50,"
					Clarithromycin is used to treat a wide variety of bacterial respiratory tract infections. This is a generic drug. The average cash price for 28 Tablet(s), 500mg each of the generic (clarithromycin) is $99.49. You can buy clarithromycin at the discounted price of $59.12 by using the WebMDRx coupon, a savings of 41%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,2 Reviews,4.00,4.00,4.00,"
					Erythromycin is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 1 Bottle, 100ml of 200mg/5ml each of the generic (erythromycin ethylsuccinate) is $332.63. You can buy erythromycin ethylsuccinate at the discounted price of $153.17 by using the WebMDRx coupon, a savings of 54%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,2 Reviews,4.00,4.00,4.00,"
					Erythromycin is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 1 Bottle, 100ml of 200mg/5ml each of the generic (erythromycin ethylsuccinate) is $332.63. You can buy erythromycin ethylsuccinate at the discounted price of $153.17 by using the WebMDRx coupon, a savings of 54%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Erythromycin,On Label,RX,1 Reviews,5.00,2.00,4.00,"
					Erythromycin is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 6 Tablet(s), 500mg each of the generic (erythromycin base) is $125.24. You can buy erythromycin base at the discounted price of $99.98 by using the WebMDRx coupon, a savings of 20%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Ampicillin Sodium,Off Label,RX,1 Reviews,5.00,5.00,5.00,"
					Ampicillin is used to treat a wide variety of bacterial infections. This is a generic drug. You can buy ampicillin sodium at the discounted price of $102.46 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,1 Reviews,5.00,1.00,1.00,"
					Amoxicillin is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 21 Capsule(s), 500mg  each, is $12.59. You can buy amoxicillin at the discounted price of $4.78 by using the WebMDRx coupon, a savings of 62%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,1 Reviews,5.00,1.00,1.00,"
					Amoxicillin is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 21 Capsule(s), 500mg  each, is $12.59. You can buy amoxicillin at the discounted price of $4.78 by using the WebMDRx coupon, a savings of 62%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Ampicillin,On Label,RX,1 Reviews,3.00,2.00,1.00,"
					Ampicillin is used to treat a wide variety of bacterial infections. This is a generic drug. You can buy ampicillin at the discounted price of $17.18 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Erythromycin Stearate,On Label,RX,1 Reviews,4.00,4.00,4.00,"
					Erythromycin is used to treat a wide variety of bacterial infections. This is a brand name drug and a generic may be available. The average cash price for 12 Tablet(s), 250mg  each, is $161.19. You can buy Erythrocin Stearate at the discounted price of $142.68 by using the WebMDRx coupon, a savings of 11%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Ampicillin Sodium,Off Label,RX,1 Reviews,1.00,1.00,1.00,"
					Ampicillin is used to treat a wide variety of bacterial infections. This is a generic drug. You can buy ampicillin sodium at the discounted price of $102.46 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,1 Reviews,5.00,5.00,5.00,"
					Amoxicillin is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 21 Capsule(s), 500mg  each, is $12.59. You can buy amoxicillin at the discounted price of $4.78 by using the WebMDRx coupon, a savings of 62%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,1 Reviews,5.00,5.00,5.00,"
					Amoxicillin is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 21 Capsule(s), 500mg  each, is $12.59. You can buy amoxicillin at the discounted price of $4.78 by using the WebMDRx coupon, a savings of 62%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,1 Reviews,5.00,5.00,5.00,"
					Amoxicillin is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 21 Capsule(s), 500mg  each, is $12.59. You can buy amoxicillin at the discounted price of $4.78 by using the WebMDRx coupon, a savings of 62%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,1 Reviews,5.00,5.00,5.00,"
					Amoxicillin is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 21 Capsule(s), 500mg  each, is $12.59. You can buy amoxicillin at the discounted price of $4.78 by using the WebMDRx coupon, a savings of 62%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Amoxicillin,On Label,RX,1 Reviews,4.00,4.00,5.00,"
					Amoxicillin is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 21 Capsule(s), 500mg  each, is $12.59. You can buy amoxicillin at the discounted price of $4.78 by using the WebMDRx coupon, a savings of 62%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Acute Bacterial Sinusitis,Erythromycin Ethylsuccinate,On Label,RX,1 Reviews,5.00,4.00,5.00,"
					Erythromycin is used to treat a wide variety of bacterial infections. This is a generic drug. The average cash price for 1 Bottle, 100ml of 200mg/5ml each of the generic (erythromycin ethylsuccinate) is $332.63. You can buy erythromycin ethylsuccinate at the discounted price of $153.17 by using the WebMDRx coupon, a savings of 54%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
